,time,value,days
775,2000-12-07,26.334623999999998,775
776,2000-12-08,22.9649248,776
777,2000-12-09,16.8768128,777
778,2000-12-10,19.4819584,778
779,2000-12-11,22.3136384,779
780,2000-12-12,22.511855999999998,780
781,2000-12-13,22.7667072,781
782,2000-12-14,22.8233408,782
783,2000-12-15,18.3492864,783
784,2000-12-16,21.2659168,784
785,2000-12-17,23.1348256,785
786,2000-12-18,16.8768128,786
787,2000-12-19,20.0766112,787
788,2000-12-20,19.963344,788
789,2000-12-21,25.0886848,789
790,2000-12-22,20.954432,790
791,2000-12-23,24.6072992,791
792,2000-12-24,19.397008,792
793,2000-12-25,28.571651199999998,793
794,2000-12-26,20.3031456,794
795,2000-12-27,26.476208,795
796,2000-12-28,29.1379872,796
797,2000-12-29,28.288483199999998,797
798,2000-12-30,28.599968,798
799,2000-12-31,23.9843296,799
800,2001-01-01,20.1615616,800
801,2001-01-02,20.7562144,801
802,2001-01-03,27.9486816,802
803,2001-01-04,24.5789824,803
804,2001-01-05,17.414832,804
805,2001-01-06,19.0005728,805
806,2001-01-07,21.2659168,806
807,2001-01-08,22.7383904,807
808,2001-01-09,22.8516576,808
809,2001-01-10,22.9932416,809
810,2001-01-11,31.459964799999998,810
811,2001-01-12,23.4746272,811
812,2001-01-13,31.8847168,812
813,2001-01-14,28.939769599999998,813
814,2001-01-15,30.865312,814
815,2001-01-16,30.865312,815
816,2001-01-17,30.8936288,816
817,2001-01-18,25.9665056,817
818,2001-01-19,29.5627392,818
