,sample_dt,mean_air_T(C),avg_wind(m/s),s_pres(kPa),dp_T(C),max_air_T(K),min_air_T(K),evap(m/d)
1991,2022-06-15,16.14814814814815,3.1284852573662687,87.25408171583334,-1.616898148148148,293.15,285.4462962962963,0.0053166520278909
1992,2022-06-16,22.90740740740741,4.131019452868076,86.60720649333334,3.96875,301.4833333333333,290.63148148148144,0.0074258319549443
1993,2022-06-17,28.648148148148152,10.061785785446371,85.86384906708335,-7.358796296296296,306.59444444444443,297.0018518518518,0.0147461240535581
1994,2022-06-18,28.2962962962963,8.366845296624149,86.02600000125,-5.44212962962963,306.22407407407405,296.6685185185185,0.0127768621193184
1995,2022-06-19,23.444444444444443,6.815237235644055,86.515312365,0.9166666666666664,301.15,292.0388888888889,0.0094799400799836
1996,2022-06-20,17.462962962962965,5.406360449468849,87.41879692020834,2.1608796296296298,294.03888888888883,287.187037037037,0.0063779547612139
1997,2022-06-21,21.38888888888889,3.9202128032585173,87.62337841416668,2.2152777777777777,298.18703703703704,290.8907407407407,0.0064230733380074
1998,2022-06-22,23.37037037037037,3.0797129221129538,87.2979687475,2.828703703703704,301.2611111111111,291.7796296296296,0.0065635522123097
1999,2022-06-23,25.96296296296296,4.204599933550461,86.82012315375,6.076388888888889,302.9648148148148,295.261111111111,0.0073175345297563
2000,2022-06-24,25.259259259259263,4.587968631000038,86.92276904875,7.262731481481481,303.3722222222221,293.4462962962962,0.007798458317422
2001,2022-06-25,24.018518518518523,4.5407001918166365,87.36067699854168,2.078703703703704,301.187037037037,293.15,0.0075300239549724
2002,2022-06-26,25.259259259259263,3.2462318005134385,87.47627573291666,3.97800925925926,302.7425925925926,294.0759259259259,0.0067668854599963
2003,2022-06-27,27.685185185185187,3.1879804574721593,87.41368744062501,6.496527777777778,305.03888888888883,296.63148148148144,0.0069286312459864
2004,2022-06-28,28.90740740740741,5.227216850546097,87.09913022833334,8.70949074074074,306.8166666666666,297.29814814814813,0.0088590710759167
2005,2022-06-29,29.87037037037037,4.678001061491195,86.95852429125001,3.142361111111112,306.5574074074074,299.4833333333333,0.0084714629186821
2006,2022-06-30,28.46296296296296,4.048884023642094,86.91797393833335,6.399305555555555,305.0018518518518,298.22407407407405,0.0074024553110349
2007,2022-07-01,28.703703703703702,5.687723583371276,86.90694671194444,10.577546296296298,305.1129629629629,298.5944444444444,0.0082653683392992
2008,2022-07-02,29.38888888888889,4.785897226995537,86.61982294055555,7.076388888888889,306.5203703703704,298.55740740740737,0.0084017244806879
2009,2022-07-03,29.981481481481485,6.924297401802174,86.46609713916666,-1.0462962962962967,307.6685185185185,298.5944444444444,0.0113087179749785
2010,2022-07-04,28.611111111111114,5.145034616706635,86.65862386444444,2.877314814814815,307.7425925925926,295.7796296296296,0.0095636215449532
2011,2022-07-05,27.27777777777777,3.9292763224583287,86.76488316819444,6.336805555555555,303.7796296296296,297.0759259259259,0.0070576347530996
2012,2022-07-06,30.240740740740744,5.621143004924695,86.81567469708335,-0.0555555555555555,307.4462962962963,299.33518518518514,0.0097937118331409
2013,2022-07-07,30.444444444444446,5.928707828019448,87.06565964305555,-2.4027777777777777,307.8537037037037,299.33518518518514,0.0103184751404441
2014,2022-07-08,31.09259259259259,5.376310282709564,87.36884025291666,3.039351851851852,309.00185185185177,299.4833333333333,0.0097805612762934
2015,2022-07-09,31.64814814814815,6.596965308615307,87.39458326388889,-3.8240740740740735,310.11296296296297,299.4833333333333,0.0116393004215319
2016,2022-07-10,31.62962962962963,5.1677770012248825,87.53072448333334,7.052083333333334,310.26111111111106,299.29814814814813,0.0096891135295922
2017,2022-07-11,29.88888888888889,3.845456985010491,87.4894861151389,4.689814814814815,307.33518518518514,298.7425925925926,0.0078392816672145
2018,2022-07-12,29.777777777777786,4.063285629881672,87.23772217111112,9.048611111111112,307.3722222222222,298.4833333333333,0.007831877849135
2019,2022-07-13,31.740740740740744,5.906640400664042,87.20473146083334,9.778935185185189,308.5944444444444,301.187037037037,0.0093941337687754
2020,2022-07-14,30.814814814814813,5.566854817894225,87.36056478291665,12.556712962962964,308.00185185185177,299.9277777777777,0.0087038299058149
2021,2022-07-15,29.81481481481482,5.656741355210984,87.51545148791666,12.844907407407408,307.5203703703704,298.4092592592592,0.0086865166786391
2022,2022-07-16,29.462962962962965,3.2870028438348027,87.45017945333335,11.564814814814817,306.5574074074074,298.6685185185185,0.0067502430379619
2023,2022-07-17,31.314814814814813,5.182753239793789,87.17750701180556,12.697916666666668,309.11296296296297,299.8166666666666,0.0087477248775811
2024,2022-07-18,29.02777777777778,3.7137111198250534,87.33166785777779,10.905092592592595,306.59444444444443,297.76111111111106,0.0072065848967592
2025,2022-07-19,28.55555555555556,3.313816818001901,87.4742500375,8.375,306.0388888888889,297.3722222222222,0.0069225106639534
2026,2022-07-20,26.47222222222223,3.2861595593090858,87.52366674194445,10.73611111111111,305.31666666666666,293.9277777777777,0.0069203134637675
2027,2022-07-21,28.80555555555556,2.7747660671081174,87.26893180569446,11.0625,307.0388888888889,296.8722222222222,0.0066988102429958
2028,2022-07-22,29.13888888888889,3.656518678427926,86.81083442597223,10.24537037037037,309.0388888888889,295.5388888888889,0.0080130400886774
2029,2022-07-23,30.861111111111114,3.8304369912934884,86.80219321791667,6.715277777777779,308.3722222222222,299.65,0.0077577142061741
2030,2022-07-24,29.91666666666667,4.665557002917351,87.09866903833334,6.747685185185185,307.4833333333333,298.65,0.008329632295635
2031,2022-07-25,29.259259259259267,3.332327005819713,87.1288183425,7.922453703703703,306.4092592592592,298.4092592592592,0.0068459295084861
2032,2022-07-26,30.35185185185185,2.8626488244711585,87.07560528625,6.65625,307.1129629629629,299.8907407407407,0.0064727946406039
2033,2022-07-27,30.203703703703702,2.4291258570120684,87.17276393041668,8.174768518518519,307.63148148148144,299.0759259259259,0.0062830828768934
2034,2022-07-28,31.148148148148152,4.162776321504769,87.04232167180557,9.296296296296298,308.15000000000003,300.4462962962963,0.0076581288302337
2035,2022-07-29,31.425925925925927,3.2817349446971886,87.25371298611111,9.89236111111111,308.4092592592592,300.7425925925926,0.0068902353765402
2036,2022-07-30,30.500000000000004,2.7417946567066127,87.37318983402777,10.95601851851852,307.74259259259253,299.5574074074074,0.0063589064729653
2037,2022-07-31,30.85185185185186,2.545878453721082,87.41605086625002,9.983796296296296,307.6685185185185,300.33518518518514,0.0060823887339089
2038,2022-08-01,31.03703703703704,4.133592970455802,87.35379050250002,10.983796296296298,307.5574074074074,300.81666666666666,0.0072039464267838
2039,2022-08-02,27.703703703703702,4.3406860404497865,87.43680897513889,15.894675925925927,304.81666666666666,296.8907407407407,0.006365404938567
2040,2022-08-03,27.87037037037037,2.447491791997171,87.41475459194446,13.258101851851851,304.2981481481481,297.7425925925926,0.0052513066817302
2041,2022-08-04,29.481481481481485,2.8980237858745013,87.1267025486111,12.849537037037038,305.7425925925926,299.5203703703704,0.0057110568971314
2042,2022-08-05,29.759259259259263,4.003853981120887,86.96174071986111,12.836805555555555,305.6685185185185,300.15,0.0063465957694861
2043,2022-08-06,25.46296296296296,3.5946672713508834,87.37638652958334,15.824074074074076,303.29814814814813,293.9277777777777,0.0057276384859652
2044,2022-08-07,24.87037037037037,2.0196261056788907,87.66360533680556,12.00462962962963,301.9277777777777,294.1129629629629,0.0048523556803307
2045,2022-08-08,26.666666666666668,3.0721403274592953,87.56036114875,10.305555555555555,303.89074074074074,295.7425925925926,0.0058652129101788
2046,2022-08-09,28.185185185185187,2.472930754048987,87.43867476416666,9.662037037037038,304.9648148148148,297.7055555555555,0.0055066393566382
2047,2022-08-10,29.18518518518519,4.564424887170677,87.57293632694444,12.256944444444446,305.7055555555556,298.9648148148148,0.0068532108450121
2048,2022-08-11,27.29629629629629,3.1328362090466753,87.61496514888888,15.844907407407408,305.00185185185177,295.8907407407407,0.005716822178157
2049,2022-08-12,27.05555555555556,3.6805851924090724,87.48543515375002,14.827546296296298,303.8166666666666,296.59444444444443,0.0056447087010098
2050,2022-08-13,28.166666666666668,4.643724195861069,87.45958682138888,13.974537037037038,303.8907407407407,298.74259259259253,0.00603780608611
2051,2022-08-14,26.740740740740744,3.0336061255139577,87.48211802000002,12.98611111111111,303.0759259259259,296.7055555555555,0.0051795569992053
2052,2022-08-15,28.5,2.3448816401973205,87.31126617166666,10.21527777777778,305.7055555555556,297.59444444444443,0.0054524963097676
2053,2022-08-16,30.05555555555556,2.848654617777038,87.26819208611113,8.842592592592593,306.9277777777777,299.4833333333333,0.0059429635442368
2054,2022-08-17,30.481481481481485,2.842203385501262,87.41886451152777,10.43402777777778,308.11296296296297,299.1499999999999,0.0061695691094003
